date,open,high,low,close,adj_close,volume
2025-10-10,25378.711929692432,25378.711929692432,25041.75697390412,25285.35,25285.35,1000000
2025-10-13,25248.965838042386,25429.743294676977,25123.216310828484,25227.35,25227.35,1000000
2025-10-14,25130.959830576034,25186.056098626974,24938.788862468587,25145.5,25145.5,1000000
2025-10-15,25285.4249275478,25425.87002075086,24843.214680641137,25323.55,25323.55,1000000
2025-10-16,25396.15785659926,26067.886321382415,25396.15785659926,25585.3,25585.3,1000000
2025-10-17,25617.314566894016,25754.733693812344,25516.065562747935,25709.85,25709.85,1000000
2025-10-20,25783.628215731354,25909.709133800072,25613.271451680233,25843.15,25843.15,1000000
2025-10-21,26005.331360105833,26005.331360105833,25657.56130062343,25868.6,25868.6,1000000
2025-10-23,25935.883792912664,26388.196730437936,25871.437288008758,25891.4,25891.4,1000000
2025-10-24,25567.76057368198,25801.989293942937,25567.76057368198,25795.15,25795.15,1000000
2025-10-27,26008.12590276752,26008.12590276752,25894.20432870057,25966.05,25966.05,1000000
2025-10-28,25886.262144793334,26575.071400778408,25721.66009816352,25936.2,25936.2,1000000
2025-10-29,25965.717709481145,26104.017533403112,25965.717709481145,26053.9,26053.9,1000000
2025-10-30,25956.994336255906,25956.994336255906,25501.706631814344,25877.85,25877.85,1000000
2025-10-31,25854.697364087966,25854.697364087966,25654.0247046977,25722.1,25722.1,1000000
2025-11-03,25883.31447828416,26064.44061320505,25062.543297019434,25763.35,25763.35,1000000
2025-11-04,25490.2400178334,25890.185784179703,25437.49386215483,25597.65,25597.65,1000000
2025-11-06,25470.260425278742,25701.515860839296,25291.041678830876,25509.7,25509.7,1000000
2025-11-07,25534.523333861845,25693.952237036054,25219.304871716766,25492.3,25492.3,1000000
2025-11-10,25699.09466260911,25806.919930545297,25450.960815872255,25574.35,25574.35,1000000
2025-11-11,25633.388209586385,26055.397296797877,25633.388209586385,25694.95,25694.95,1000000
2025-11-12,25851.77962725821,26238.540177306,25691.046660149717,25875.8,25875.8,1000000
